"Time of Day","Process Name","PID","Operation","Path","Result","Detail","TID","Parent PID"
"8:33:48.7960815 AM","conhost.exe","3772","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\CWDIllegalInDLLSearch","NAME NOT FOUND","Length: 1,024","3640","384"
"8:33:48.7960900 AM","conhost.exe","3772","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","3640","384"
"8:33:48.7964192 AM","conhost.exe","3772","CreateFile","C:\Windows\System32","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened","3640","384"
"8:33:48.7966389 AM","conhost.exe","3772","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x75bc0000, Image Size: 0xd5000","3640","384"
"8:33:48.7968739 AM","conhost.exe","3772","Load Image","C:\Windows\System32\KernelBase.dll","SUCCESS","Image Base: 0x75070000, Image Size: 0x4b000","3640","384"
"8:33:48.7978244 AM","conhost.exe","3772","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value","3640","384"
"8:33:48.7978383 AM","conhost.exe","3772","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value","3640","384"
"8:33:48.7978561 AM","conhost.exe","3772","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read","3640","384"
"8:33:48.7978637 AM","conhost.exe","3772","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read","3640","384"
"8:33:48.7978761 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value","3640","384"
"8:33:48.7978917 AM","conhost.exe","3772","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80","3640","384"
"8:33:48.7978992 AM","conhost.exe","3772","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS","","3640","384"
"8:33:48.7979245 AM","conhost.exe","3772","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value","3640","384"
"8:33:48.7982542 AM","conhost.exe","3772","Load Image","C:\Windows\System32\gdi32.dll","SUCCESS","Image Base: 0x75b70000, Image Size: 0x4e000","3640","384"
"8:33:48.7985837 AM","conhost.exe","3772","Load Image","C:\Windows\System32\user32.dll","SUCCESS","Image Base: 0x75590000, Image Size: 0xc9000","3640","384"
"8:33:48.7989749 AM","conhost.exe","3772","Load Image","C:\Windows\System32\lpk.dll","SUCCESS","Image Base: 0x75720000, Image Size: 0xa000","3640","384"
"8:33:48.7993362 AM","conhost.exe","3772","Load Image","C:\Windows\System32\usp10.dll","SUCCESS","Image Base: 0x75660000, Image Size: 0x9d000","3640","384"
"8:33:48.7995898 AM","conhost.exe","3772","Load Image","C:\Windows\System32\msvcrt.dll","SUCCESS","Image Base: 0x761c0000, Image Size: 0xac000","3640","384"
"8:33:48.8001514 AM","conhost.exe","3772","Load Image","C:\Windows\System32\imm32.dll","SUCCESS","Image Base: 0x75700000, Image Size: 0x1f000","3640","384"
"8:33:48.8004534 AM","conhost.exe","3772","Load Image","C:\Windows\System32\msctf.dll","SUCCESS","Image Base: 0x760b0000, Image Size: 0xcc000","3640","384"
"8:33:48.8008516 AM","conhost.exe","3772","Load Image","C:\Windows\System32\ole32.dll","SUCCESS","Image Base: 0x75ca0000, Image Size: 0x15c000","3640","384"
"8:33:48.8012847 AM","conhost.exe","3772","Load Image","C:\Windows\System32\rpcrt4.dll","SUCCESS","Image Base: 0x75e00000, Image Size: 0xa2000","3640","384"
"8:33:48.8016963 AM","conhost.exe","3772","Load Image","C:\Windows\System32\oleaut32.dll","SUCCESS","Image Base: 0x75ae0000, Image Size: 0x8f000","3640","384"
"8:33:48.8021560 AM","conhost.exe","3772","RegOpenKey","HKLM\System\CurrentControlSet\Control\Error Message Instrument\","REPARSE","Desired Access: Read","3640","384"
"8:33:48.8021685 AM","conhost.exe","3772","RegOpenKey","HKLM\System\CurrentControlSet\Control\Error Message Instrument","NAME NOT FOUND","Desired Access: Read","3640","384"
"8:33:48.8021874 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS","Desired Access: Read","3640","384"
"8:33:48.8022046 AM","conhost.exe","3772","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize\DisableMetaFiles","NAME NOT FOUND","Length: 20","3640","384"
"8:33:48.8022122 AM","conhost.exe","3772","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS","","3640","384"
"8:33:48.8022513 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Compatibility32","SUCCESS","Desired Access: Read","3640","384"
"8:33:48.8022626 AM","conhost.exe","3772","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Compatibility32\conhost","NAME NOT FOUND","Length: 172","3640","384"
"8:33:48.8023591 AM","conhost.exe","3772","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Compatibility32","SUCCESS","","3640","384"
"8:33:48.8023678 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\IME Compatibility","NAME NOT FOUND","Desired Access: Read","3640","384"
"8:33:48.8025218 AM","conhost.exe","3772","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access","3640","384"
"8:33:48.8026457 AM","conhost.exe","3772","RegOpenKey","HKCU\Control Panel\Desktop\MuiCached\MachineLanguageConfiguration","NAME NOT FOUND","Desired Access: Read","3640","384"
"8:33:48.8026945 AM","conhost.exe","3772","RegCloseKey","HKCU","SUCCESS","","3640","384"
"8:33:48.8027089 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read","3640","384"
"8:33:48.8027334 AM","conhost.exe","3772","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access","3640","384"
"8:33:48.8027535 AM","conhost.exe","3772","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read","3640","384"
"8:33:48.8027637 AM","conhost.exe","3772","RegOpenKey","HKCU\Control Panel\Desktop\LanguageConfiguration","SUCCESS","Desired Access: Read","3640","384"
"8:33:48.8027758 AM","conhost.exe","3772","RegEnumValue","HKCU\Control Panel\Desktop\LanguageConfiguration","NO MORE ENTRIES","Index: 0, Length: 512","3640","384"
"8:33:48.8027838 AM","conhost.exe","3772","RegCloseKey","HKCU\Control Panel\Desktop\LanguageConfiguration","SUCCESS","","3640","384"
"8:33:48.8027903 AM","conhost.exe","3772","RegCloseKey","HKCU","SUCCESS","","3640","384"
"8:33:48.8027983 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read","3640","384"
"8:33:48.8028603 AM","conhost.exe","3772","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access","3640","384"
"8:33:48.8029025 AM","conhost.exe","3772","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read","3640","384"
"8:33:48.8029131 AM","conhost.exe","3772","RegOpenKey","HKCU\Control Panel\Desktop","SUCCESS","Desired Access: Read","3640","384"
"8:33:48.8029463 AM","conhost.exe","3772","RegQueryValue","HKCU\Control Panel\Desktop\PreferredUILanguages","NAME NOT FOUND","Length: 12","3640","384"
"8:33:48.8029593 AM","conhost.exe","3772","RegCloseKey","HKCU\Control Panel\Desktop","SUCCESS","","3640","384"
"8:33:48.8029663 AM","conhost.exe","3772","RegCloseKey","HKCU","SUCCESS","","3640","384"
"8:33:48.8029752 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read","3640","384"
"8:33:48.8029952 AM","conhost.exe","3772","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access","3640","384"
"8:33:48.8030066 AM","conhost.exe","3772","RegOpenKey","HKCU\Control Panel\Desktop\MuiCached","SUCCESS","Desired Access: Read","3640","384"
"8:33:48.8030236 AM","conhost.exe","3772","RegQueryValue","HKCU\Control Panel\Desktop\MuiCached\MachinePreferredUILanguages","BUFFER OVERFLOW","Length: 12","3640","384"
"8:33:48.8030385 AM","conhost.exe","3772","RegQueryValue","HKCU\Control Panel\Desktop\MuiCached\MachinePreferredUILanguages","SUCCESS","Type: REG_MULTI_SZ, Length: 12, Data: en-US","3640","384"
"8:33:48.8030503 AM","conhost.exe","3772","RegCloseKey","HKCU\Control Panel\Desktop\MuiCached","SUCCESS","","3640","384"
"8:33:48.8030565 AM","conhost.exe","3772","RegCloseKey","HKCU","SUCCESS","","3640","384"
"8:33:48.8031117 AM","conhost.exe","3772","RegOpenKey","HKLM\System\CurrentControlSet\Control\CMF\Config","REPARSE","Desired Access: Read","3640","384"
"8:33:48.8031217 AM","conhost.exe","3772","RegOpenKey","HKLM\System\CurrentControlSet\Control\CMF\Config","SUCCESS","Desired Access: Read","3640","384"
"8:33:48.8031345 AM","conhost.exe","3772","RegQueryValue","HKLM\System\CurrentControlSet\Control\CMF\Config\SYSTEM","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0","3640","384"
"8:33:48.8031426 AM","conhost.exe","3772","RegCloseKey","HKLM\System\CurrentControlSet\Control\CMF\Config","SUCCESS","","3640","384"
"8:33:49.4320566 AM","conhost.exe","3772","CreateFile","C:\Windows\System32\en-US\conhost.exe.mui","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened","3640","384"
"8:33:49.4320948 AM","conhost.exe","3772","CreateFileMapping","C:\Windows\System32\en-US\conhost.exe.mui","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_WRITECOPY","3640","384"
"8:33:49.4321020 AM","conhost.exe","3772","QueryStandardInformationFile","C:\Windows\System32\en-US\conhost.exe.mui","SUCCESS","AllocationSize: 4,096, EndOfFile: 3,584, NumberOfLinks: 2, DeletePending: False, Directory: False","3640","384"
"8:33:49.4321190 AM","conhost.exe","3772","CreateFileMapping","C:\Windows\System32\en-US\conhost.exe.mui","SUCCESS","SyncType: SyncTypeOther","3640","384"
"8:33:49.4323921 AM","conhost.exe","3772","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read","3640","384"
"8:33:49.4324102 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows","SUCCESS","Desired Access: Read","3640","384"
"8:33:49.4324345 AM","conhost.exe","3772","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows\LoadAppInit_DLLs","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0","3640","384"
"8:33:49.4324529 AM","conhost.exe","3772","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows","SUCCESS","","3640","384"
"8:33:49.4381759 AM","conhost.exe","3772","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","REPARSE","Desired Access: Read","3640","384"
"8:33:49.4381909 AM","conhost.exe","3772","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","SUCCESS","Desired Access: Read","3640","384"
"8:33:49.4382110 AM","conhost.exe","3772","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\CompatDll","SUCCESS","Type: REG_SZ, Length: 36, Data: 00060101.00060101","3640","384"
"8:33:49.4382199 AM","conhost.exe","3772","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\00060101.00060101","NAME NOT FOUND","Length: 260","3640","384"
"8:33:49.4382266 AM","conhost.exe","3772","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\(Default)","SUCCESS","Type: REG_SZ, Length: 36, Data: 00060101.00060101","3640","384"
"8:33:49.4382834 AM","conhost.exe","3772","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value","3640","384"
"8:33:49.4382925 AM","conhost.exe","3772","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value","3640","384"
"8:33:49.4383038 AM","conhost.exe","3772","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode","NAME NOT FOUND","Length: 16","3640","384"
"8:33:49.4384344 AM","conhost.exe","3772","RegOpenKey","HKLM\SOFTWARE\Microsoft\OLE","SUCCESS","Desired Access: Read","3640","384"
"8:33:49.4384505 AM","conhost.exe","3772","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\PageAllocatorUseSystemHeap","NAME NOT FOUND","Length: 144","3640","384"
"8:33:49.4384592 AM","conhost.exe","3772","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole","SUCCESS","","3640","384"
"8:33:49.4384670 AM","conhost.exe","3772","RegOpenKey","HKLM\SOFTWARE\Microsoft\OLE","SUCCESS","Desired Access: Read","3640","384"
"8:33:49.4384767 AM","conhost.exe","3772","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\PageAllocatorSystemHeapIsPrivate","NAME NOT FOUND","Length: 144","3640","384"
"8:33:49.4384834 AM","conhost.exe","3772","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole","SUCCESS","","3640","384"
"8:33:49.4385234 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Microsoft\OLE\Tracing","NAME NOT FOUND","Desired Access: Read","3640","384"
"8:33:49.4386683 AM","conhost.exe","3772","RegOpenKey","HKLM\SOFTWARE\Microsoft\OLEAUT","NAME NOT FOUND","Desired Access: Query Value","3640","384"
"8:33:49.4387059 AM","conhost.exe","3772","RegOpenKey","HKLM\SOFTWARE\Microsoft\OLEAUT","NAME NOT FOUND","Desired Access: Query Value","3640","384"
"8:33:49.4387600 AM","conhost.exe","3772","QueryNameInformationFile","C:\Windows\System32\conhost.exe","SUCCESS","Name: \Windows\System32\conhost.exe","3640","384"
"8:33:49.4388335 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Console\TrueTypeFont","SUCCESS","Desired Access: Read","3640","384"
"8:33:49.4388618 AM","conhost.exe","3772","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Console\TrueTypeFont","SUCCESS","Index: 0, Name: 949, Type: REG_SZ, Length: 10, Data: *굴림체","3640","384"
"8:33:49.4388732 AM","conhost.exe","3772","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Console\TrueTypeFont","SUCCESS","Index: 1, Name: 0, Type: REG_SZ, Length: 30, Data: Lucida Console","3640","384"
"8:33:49.4391910 AM","conhost.exe","3772","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Console\TrueTypeFont","SUCCESS","Index: 2, Name: 950, Type: REG_SZ, Length: 10, Data: *細明體","3640","384"
"8:33:49.4392001 AM","conhost.exe","3772","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Console\TrueTypeFont","SUCCESS","Index: 3, Name: 932, Type: REG_SZ, Length: 18, Data: *ＭＳ ゴシック","3640","384"
"8:33:49.4392078 AM","conhost.exe","3772","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Console\TrueTypeFont","SUCCESS","Index: 4, Name: 936, Type: REG_SZ, Length: 10, Data: *新宋体","3640","384"
"8:33:49.4392157 AM","conhost.exe","3772","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Console\TrueTypeFont","SUCCESS","Index: 5, Name: 00, Type: REG_SZ, Length: 18, Data: Consolas","3640","384"
"8:33:49.4392234 AM","conhost.exe","3772","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Console\TrueTypeFont","NO MORE ENTRIES","Index: 6, Length: 2,072","3640","384"
"8:33:49.4392303 AM","conhost.exe","3772","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Console\TrueTypeFont","SUCCESS","","3640","384"
"8:33:49.4392391 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Console\FullScreen","NAME NOT FOUND","Desired Access: Read","3640","384"
"8:33:49.4392513 AM","conhost.exe","3772","RegOpenKey","HKLM\Hardware\DESCRIPTION\System","SUCCESS","Desired Access: Read","3640","384"
"8:33:49.4392646 AM","conhost.exe","3772","RegQueryValue","HKLM\HARDWARE\DESCRIPTION\System\Identifier","SUCCESS","Type: REG_SZ, Length: 34, Data: AT/AT COMPATIBLE","3640","384"
"8:33:49.4392723 AM","conhost.exe","3772","RegCloseKey","HKLM\HARDWARE\DESCRIPTION\System","SUCCESS","","3640","384"
"8:33:49.4393284 AM","conhost.exe","3772","Thread Create","","SUCCESS","Thread ID: 3676","3640","384"
"8:33:49.4397102 AM","conhost.exe","3772","Thread Exit","","SUCCESS","Thread ID: 3640, User Time: 0.0000000, Kernel Time: 0.0000000","3640","384"
"8:33:49.4429677 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Compatibility32","SUCCESS","Desired Access: Read","3676","384"
"8:33:49.4430189 AM","conhost.exe","3772","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Compatibility32\conhost","NAME NOT FOUND","Length: 172","3676","384"
"8:33:49.4430485 AM","conhost.exe","3772","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Compatibility32","SUCCESS","","3676","384"
"8:33:49.4430571 AM","conhost.exe","3772","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\IME Compatibility","NAME NOT FOUND","Desired Access: Read","3676","384"
"8:33:49.4431204 AM","conhost.exe","3772","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access","3676","384"
"8:33:49.4431358 AM","conhost.exe","3772","RegOpenKey","HKCU\Console","SUCCESS","Desired Access: Read","3676","384"
"8:33:49.4431527 AM","conhost.exe","3772","RegOpenKey","HKCU\Console","SUCCESS","Desired Access: Read","3676","384"
"8:33:49.4431663 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ScreenColors","SUCCESS","Type: REG_DWORD, Length: 4, Data: 7","3676","384"
"8:33:49.4431904 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\PopupColors","SUCCESS","Type: REG_DWORD, Length: 4, Data: 245","3676","384"
"8:33:49.4431982 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\InsertMode","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1","3676","384"
"8:33:49.4432052 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\QuickEdit","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1","3676","384"
"8:33:49.4432124 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\FullScreen","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0","3676","384"
"8:33:49.4432194 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\CodePage","NAME NOT FOUND","Length: 16","3676","384"
"8:33:49.4432278 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ScreenBufferSize","SUCCESS","Type: REG_DWORD, Length: 4, Data: 19660880","3676","384"
"8:33:49.4432350 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\WindowSize","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1638480","3676","384"
"8:33:49.4432421 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\WindowPosition","NAME NOT FOUND","Length: 16","3676","384"
"8:33:49.4432488 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\FontSize","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0","3676","384"
"8:33:49.4432555 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\FontFamily","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0","3676","384"
"8:33:49.4432622 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\FontWeight","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0","3676","384"
"8:33:49.4432695 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\FaceName","NAME NOT FOUND","Length: 76","3676","384"
"8:33:49.4432765 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\CursorSize","SUCCESS","Type: REG_DWORD, Length: 4, Data: 25","3676","384"
"8:33:49.4432833 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\HistoryBufferSize","SUCCESS","Type: REG_DWORD, Length: 4, Data: 50","3676","384"
"8:33:49.4432903 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\NumberOfHistoryBuffers","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4","3676","384"
"8:33:49.4432974 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\HistoryNoDup","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0","3676","384"
"8:33:49.4433601 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable00","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0","3676","384"
"8:33:49.4433682 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable01","SUCCESS","Type: REG_DWORD, Length: 4, Data: 8388608","3676","384"
"8:33:49.4433756 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable02","SUCCESS","Type: REG_DWORD, Length: 4, Data: 32768","3676","384"
"8:33:49.4433830 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable03","SUCCESS","Type: REG_DWORD, Length: 4, Data: 8421376","3676","384"
"8:33:49.4433903 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable04","SUCCESS","Type: REG_DWORD, Length: 4, Data: 128","3676","384"
"8:33:49.4433977 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable05","SUCCESS","Type: REG_DWORD, Length: 4, Data: 8388736","3676","384"
"8:33:49.4434050 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable06","SUCCESS","Type: REG_DWORD, Length: 4, Data: 32896","3676","384"
"8:33:49.4434123 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable07","SUCCESS","Type: REG_DWORD, Length: 4, Data: 12632256","3676","384"
"8:33:49.4434197 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable08","SUCCESS","Type: REG_DWORD, Length: 4, Data: 8421504","3676","384"
"8:33:49.4434270 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable09","SUCCESS","Type: REG_DWORD, Length: 4, Data: 16711680","3676","384"
"8:33:49.4434345 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable10","SUCCESS","Type: REG_DWORD, Length: 4, Data: 65280","3676","384"
"8:33:49.4434421 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable11","SUCCESS","Type: REG_DWORD, Length: 4, Data: 16776960","3676","384"
"8:33:49.4434497 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable12","SUCCESS","Type: REG_DWORD, Length: 4, Data: 255","3676","384"
"8:33:49.4434572 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable13","SUCCESS","Type: REG_DWORD, Length: 4, Data: 16711935","3676","384"
"8:33:49.4434648 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable14","SUCCESS","Type: REG_DWORD, Length: 4, Data: 65535","3676","384"
"8:33:49.4434725 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ColorTable15","SUCCESS","Type: REG_DWORD, Length: 4, Data: 16777215","3676","384"
"8:33:49.4434794 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\LoadConIme","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1","3676","384"
"8:33:49.4434866 AM","conhost.exe","3772","RegQueryValue","HKCU\Console\ExtendedEditKey","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0","3676","384"
